Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Clark,Porter,destroyer,20 May 1936,scrapped 1946,United States,"1,850"
Clarkia,Flower,corvette,22 April 1940,Sold on 30 July 1947 for scrap.,Royal Navy,925
Claxton,Fletcher,destroyer,08 December 1942,To West Germany 1959,United States,"2,050"
Clematis,Flower,corvette,27 July 1940,Scrapped in September 1949 at Charlestown.,Royal Navy,925
Clemson,Clemson,destroyer,29 December 1919,Decommissioned 12 October 1945,United States,"1,250"
Cleveland,Hunt,destroyer escort,01 January 1940,"paid off 26 March 1946, scrapped 1959",Royal Navy,"1,000"
Cleveland,Cleveland,light cruiser,15 June 1942,"decommissioned 7 February 1947, scrapped 1960",United States,"10,000"
Climene,Spica,torpedo boat,24 April 1936,She took part in the shooting down of three Beaufort bombers and a Beaufighter while escorting a convoy between 20–21 August 1942. Sunk 28 April 1943 by submarine HMS Unshaken.,Regia Marina,795
Clio,Spica,torpedo boat,02 October 1938,"Sank submarine HMS Triton in December 1940. Clio shot down a Swordfish torpedo bomber from HMS Illustrious while escorting a four ship convoy off Sfax on 21 December 1940. She also participated in the battle of Skerki Bank, on 2 December 1942. Survived the war and served in the post war Marina Militare. Decommissioned 1959.",Regia Marina,795
Clive,,sloop,20 April 1920,decommissioned and scrapped in 1947,Royal Indian Navy,"2,083"
Cloues,Evarts,destroyer escort,10 August 1943,scrapped 1947,United States,"1,140"
Clover,Flower,corvette,13 May 1941,Sold on 17 May 1947 as mercantile Cloverlock. Resold to People's Republic of China as mercantile Kai Feng.,Royal Navy,925
Clyde,River class,submarine,01 January 1935,paid off 30 July 1946,Royal Navy,"2,206"
Coates,Rudderow,destroyer escort,24 January 1944,"decommissioned 1970, sunk as target 1971",United States,"1,450"
Coaticook,River,frigate,25 July 1944,paid off 29 November 1945,Royal Canadian Navy,"1,445"
Cobalt,Flower,corvette,25 November 1940,paid off 17 June 1945,Royal Canadian Navy,925
Cobalto,Acciaio,submarine,20 July 1941,rammed 12.8.42 by HMS Ithuriel,Regia Marina,697
Cobourg,Flower modified,corvette,11 May 1944,Decommissioned on 15/6/1945. Sold for mercantile use,Royal Canadian Navy,"1,015"
Cochin,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Cockade,C,destroyer,29 September 1945,"Paid off 1958, scrapped 1964",Royal Navy,"1,885"
Cockrill,Edsall,destroyer escort,24 December 1943,"decommissioned 1946, sunk as target 1974",United States,"1,250"
Codrington,A destroyer leader,destroyer,04 June 1930,sunk 27 July 1940,Royal Navy,"1,350"
Cofer,Buckley,destroyer escort,18 January 1944,"decommissioned 1946, scrapped 1968",United States,"1,400"
Coffman,Cannon,destroyer escort,27 December 1943,"decommissioned 1946, scrapped 1973",United States,"1,240"
Coghlan,Benson,destroyer,10 July 1942,"decommissioned 1947, scrapped 1974",United States,"1,620"
Cogswell,Fletcher,destroyer,17 August 1943,"to Turkey 1969, scrapped 1980",United States,"2,050"
Colahan,Fletcher,destroyer,23 August 1943,sunk as target 1966,United States,"2,050"
Colbert,Suffren,heavy cruiser,04 March 1931,scuttled 27 November 1942,French Navy,"10,000"
Cole,Wickes,destroyer,19 June 1919,scrapped 1947,United States,"1,190"
Colhoun (I),Wickes,destroyer,13 June 1918,sunk 30 August 1942,United States,"1,060"
Collett,Sumner,destroyer,16 May 1944,to Argentina 1974,United States,"2,200"
Collingwood,Flower,corvette,19 November 1940,paid off 23 July 1945,Royal Canadian Navy,925
Colombo,C class,light cruiser,18 June 1919,scrapped 1948,Royal Navy,"4,200"
Colossus,Collossus,aircraft carrier,16 December 1944,"transferred to France, renamed Arromanches 6 August 1946",Royal Navy,"13,200"
Coltsfoot,Flower,corvette,01 November 1941,Sold in 1947 as mercantile Alexandra.,Royal Navy,925
Columbia,Town,destroyer,24 September 1940,paid off August 1945,Royal Canadian Navy,"1,060"
Columbine,Flower,corvette,09 November 1940,"Sold on 9 August 1946. Resold and renamed Leif Welding in 1949, used as buoy tender, then whale catcher. Scrapped in 1966 at Grimstad.",Royal Navy,925
Columbus,Baltimore class,heavy cruiser,08 June 1945,"converted to missile cruiser 1962, scrapped 1977",United States,"17,200"
Comandante Alfredo Cappellini,Marcello,submarine,14 May 1939,seized by Germany following the Italian armistice of September 1943 and commissioned into the Kriegsmarine as UIT-24.,Regia Marina,"1,060"
Comandante Faà di Bruno,Marcello,submarine,18 June 1939,lost to unknown causes on its first BETASOM patrol after sailing from Bordeaux on 31 October 1940,Regia Marina,"1,060"
Combattante,Hunt,destroyer escort,30 December 1942,sunk 23 February 1945,Free French Naval Forces,"1,050"
Comet,C,destroyer,06 June 1945,"Paid off 1958, scrapped 1962",Royal Navy,"1,885"
Commandant d'Estienne d'Orves,Flower,corvette,23 May 1942,Returned to Royal Navy on 31 May 1947 and sold.,French Navy,925
Commandant Detroyat,Flower,corvette,16 September 1941,Returned to Royal Navy in 1947.,French Navy,925
Commandant Drogou,Flower,corvette,15 January 1942,Returned to Royal Navy in May 1947,French Navy,925
Commencement Bay,Commencement Bay,escort carrier,27 November 1944,"Decommissioned 30 November 1946, scrapped 1971",United States,"11,373"
Compton,Sumner,destroyer,04 November 1944,"to Brazil 1972, scrapped 1990",United States,"2,200"
Concord,Omaha,light cruiser,03 November 1923,scrapped 1947,United States,"7,050"
Cone,Gearing,destroyer,18 August 1945,"to Pakistan 1982, scrapped 1998",United States,"2,250"
Confienza,Palestro,torpedo boat,01 April 1923,sank after a collision with auxiliary cruiser Capitano A. Cecchi off Brindisi on 20 November 1940.,Regia Marina,875
Conklin,Butler,destroyer escort,21 April 1944,"decommissioned 1946, scrapped 1972",United States,"1,350"
Conner (II),Fletcher,destroyer,08 June 1943,"to Greece 1959, scrapped 1997",United States,"2,050"
Connolly,Evarts,destroyer escort,08 July 1944,scrapped 1947,United States,"1,140"
Console Generale Liuzzi,Liuzzi,submarine,17 September 1939,sunk by Royal Navy destroyers south of Crete on 27 June 1940.,Regia Marina,"1,030"
Constanța,Constanța,submarine tender,01 January 1931,Captured by the Soviet Union in 1944,Romania,2300
Conte di Cavour,Conte di Cavour,dreadnought,01 January 1915,"captured 10 September 1943 by Germany, scrapped 1946",Regia Marina,"26,140"
Contest,C,destroyer,09 November 1945,scrapped 1960,Royal Navy,"1,885"
Converse,Fletcher,destroyer,20 November 1942,"to Spain 1959, scrapped 1988",United States,"2,050"
Convolvulus,Flower,corvette,26 February 1941,Scrapped on 5 October 1947,Royal Navy,925
Conway,Fletcher,destroyer,09 October 1942,sunk as target 1970,United States,"2,050"
Cony,Fletcher,destroyer,30 October 1942,sunk as target 1970,United States,"2,050"
Conyngham,Mahan,destroyer,04 November 1936,scuttled 1948 after A-bomb test,United States,"1,450"
Coolbaugh,Buckley,destroyer escort,15 October 1943,"decommissioned 1960, scrapped 1973",United States,"1,400"
Cooner,Cannon,destroyer escort,21 August 1943,"decommissioned 1946, scrapped 1973",United States,"1,240"
Cooper,Sumner,destroyer,09 February 1944,sunk 3 December 1944,United States,"2,200"
Copahee,Bogue,escort carrier,15 June 1942,"decommissioned 1946, scrapped 1961",United States,"9,800"
Coral Sea,Casablanca,escort carrier,27 August 1943,"renamed Anzio, decommissioned 1946, scrapped 1959",United States,"9,600"
Corallo,Perla,submarine,13 December 1942,Sunk by HMS Enchantress,Regia Marina,695
Corazziere,Soldati,destroyer,04 March 1939,Scuttled 9 September 1943 at Genoa following Italian Armistice. Raised by Germans but sunk by air raid 4 September 1944.,Regia Marina,"1,850"
Core,Bogue,escort carrier,10 December 1942,"decommissioned 1946, scrapped 1971",United States,"9,800"
Coreopsis,Flower,corvette,17 August 1940,"to Greece as Kriezis 10 November 1943, out of service 1952.",Royal Navy,925
Coriander,Flower,corvette,,Transferred on 16 September 1941 to the Free French Navy as Commandant Detroyant.,Royal Navy,925
Cornwallis,Cornwallis,sloop,01 January 1921,Scrapped 1946,Royal Indian Navy,"1,290"
Coronel,auxiliary,auxiliary cruiser,13 August 1938,ran aground 21 November 1984,Kriegsmarine,"12,700"
Corregidor,Casablanca,escort carrier,31 August 1943,scrapped 1959,United States,"10,400"
Corridoni,Bragadin,submarine,17 November 1931,09/08/1943. Stricken,Regia Marina,981
Corrientes,Buenos Aires,destroyer,01 July 1938,Lost 3 October 1941,Argentina,"1,375"
Corry,Gleaves,destroyer,18 December 1941,sunk 6 June 1944,United States,"1,630"
Corsaro,Soldati,destroyer,16 May 1942,"Sunk by mine, 9 January 1943",Regia Marina,"1,850"
Cossack (I),Tribal,destroyer,07 June 1938,sunk 24 October 1941,Royal Navy,"2,020"
Cossack (II),C,destroyer,04 September 1945,scrapped 1961,Royal Navy,"1,885"
Cotswold,Hunt,destroyer escort,16 November 1940,"paid off 1946, scrapped 1957",Royal Navy,"1,050"
Cotten,Fletcher,destroyer,24 July 1943,"decommissioned 1960, scrapped 1975",United States,"2,050"
Cottesmore,Hunt,destroyer escort,29 December 1940,"paid off 28 February 19466, scrapped 1951",Royal Navy,"1,050"
Courageous,Glorious,aircraft carrier,04 November 1916,sunk 17 September 1939,Royal Navy,"22,500"
Courbet,Courbet,dreadnought,01 November 1913,"scuttled as a ""Gooseberry"" breakwater 6 June 1944",French Navy,"23,200"
Coventry,C class,light cruiser,21 February 1918,lost 14 September 1942,Royal Navy,"4,290"
Cowell,Fletcher,destroyer,23 August 1943,"to Argentina 1971, scrapped 1982",United States,"2,050"
Cowie,Gleaves,destroyer,01 June 1942,"decommissioned 1947, scrapped 1972",United States,"1,630"
Cowpens,Independence,light aircraft carrier,28 May 1943,"decommissioned 13 January 1947, scrapped 1960",United States,"11,000"
Cowslip,Flower,corvette,09 August 1941,Sold in July 1948. Scrapped in April 1949 at Troon.,Royal Navy,925
Crane,Wickes,destroyer,18 April 1919,scrapped 1946,United States,"1,190"
Craven,Gridley,destroyer,02 September 1937,scrapped 1947,United States,"1,590"
Crescent,C,destroyer,21 August 1945,"delivered to Canada January 1945, scrapped 1971",Royal Canadian Navy,"1,900"
Croatan,Bogue,escort carrier,28 April 1943,"decommissioned 1946, scrapped 1971",United States,"9,800"
Crocus,Flower,corvette,20 October 1940,Badly damaged U-333 by ramming her twice 6 October 1942. Sold on 22 July 1946 as mercantile Annlock. Scrapped in 1952 at Hong Kong.,Royal Navy,925
Cronin,Buckley,destroyer escort,05 May 1944,sunk as target 1971,United States,"1,400"
Croome,Hunt,destroyer escort,29 June 1941,"paid off October 1945, scrapped 1957",Royal Navy,"1,000"
Crosby,Wickes,destroyer,24 January 1919,scrapped 1946,United States,"1,190"
Cross,Butler,destroyer escort,08 January 1945,"decommissioned 1958, scrapped 1968",United States,"1,350"
Crouter,Evarts,destroyer escort,25 May 1943,scrapped 1947,United States,"1,140"
Crowley,Evarts,destroyer escort,25 March 1944,scrapped 1947,United States,"1,140"
Crusader,C,destroyer,26 November 1945,"delivered to Canada January 1945, scrapped 1971",Royal Canadian Navy,"1,900"
Cuba,,sloop,01 January 1911,stricken 1971,Cuba,"2,055"
Cummings,Mahan,destroyer,25 November 1936,scrapped 1947,United States,"1,450"
Curacoa,C class,light cruiser,18 February 1918,lost 2 October 1942,Royal Navy,"4,290"
Curie,U,submarine,02 May 1943,"returned to Royal Navy July 1946, paid off May 1949",Royal Navy,540
Curlew,C class,light cruiser,14 December 1917,lost 26 May 1940,Royal Navy,"4,290"
Currier,Buckley,destroyer escort,01 February 1944,sunk as target 1967,United States,"1,400"
Curtatone,Curtatone,torpedo boat,21 June 1923,Sunk by a mine near Athens on 20 May 1941.,Regia Marina,876
Cushing (I),Mahan,destroyer,28 August 1936,sunk 13 November 1942,United States,"1,450"
Cushing (II),Fletcher,destroyer,17 January 1944,"to Brazil 1961, scrapped 1982",United States,"2,050"
Cuttack,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Cyclamen,Flower,corvette,30 September 1940,"Sold in 1947. Resold in 1948, became whale catcher Southern Briar. Wrecked 1966 at Thorsminde while under tow for demolition in Belgium.",Royal Navy,925
Cyprus,,Special Service Ship,,paid off March 1941,Royal Navy,"4,398"
Daga,Ariete,torpedo boat,15 July 1943,"Along with Spada took part in the sinking of British motor boat ML-1227 on 5 October 1944. Sunk 16 October 1944, scuttled after hitting a mine off Thessaloniki.",Regia Marina,745
Dagabur,Adua,submarine,22 November 1936,sunk during Operation Pedestal by the British destroyer HMS Wolverine,Regia Marina,697
Dahlgren,Clemson,destroyer,06 January 1920,scrapped 1946,United States,"1,200"
Dahlia,Flower,corvette,21 March 1941,Scrapped on 28 October 1948 at Gelliswick Bay.,Royal Navy,925
Dale,Farragut,destroyer,17 June 1935,scrapped 1947,United States,"1,365"
Dale W. Peterson,Edsall,destroyer escort,17 February 1944,"decommissioned 1946, scrapped 1972",United States,"1,250"
Dallas,Clemson,destroyer,29 October 1920,scrapped 1945,United States,"1,200"
Daly,Fletcher,destroyer,24 October 1942,"decommissioned 1960, scrapped 1976",United States,"2,050"
Damon M. Cummings,Buckley,destroyer escort,29 June 1944,"decommissioned 1947, scrapped 1973",United States,"1,400"
Dandolo,Marcello,submarine,25 March 1938,"sailed to the United States after the Italian armistice, and was scrapped in 1948",Regia Marina,"1,060"
Daniel,Edsall,destroyer escort,24 January 1944,"decommissioned 1946, scrapped 1974",United States,"1,250"
Daniel A. Joy,Rudderow,destroyer escort,28 April 1944,scrapped 1966,United States,"1,450"
Daniel T. Griffin,Buckley,destroyer escort,09 June 1943,to Chile 1966,United States,"1,400"
Daniele Manin,Sauro,destroyer,01 March 1927,"Sunk by aircraft, 3 April 1941",Regia Marina,970
Darby,Buckley,destroyer escort,15 November 1943,sunk as target 1970,United States,"1,400"
Dardo,Freccia,destroyer,26 January 1932,"Caputed by Germany, September 1943",Regia Marina,"1,225"
Dasher,Attacker,escort carrier,02 July 1942,sunk 27 March 1943,Royal Navy,"8,200"
Dashiell,Fletcher,destroyer,20 March 1943,"decommissioned 1960, scrapped 1975",United States,"2,050"
Dauntless,Danae,cruiser,10 April 1918,scrapped 1946,Royal Navy,"4,850"
Dauphin,Flower,corvette,17 May 1941,paid off 20 June 1945,Royal Canadian Navy,925
David W. Taylor,Fletcher,destroyer,18 September 1943,"to Spain 1957, scrapped 1987",United States,"2,050"
Davis,Somers,destroyer,09 November 1938,scrapped 1947,United States,"1,850"
Davison,Gleaves,destroyer,11 September 1942,"decommissioned 1949, scrapped 1973",United States,"1,630"
Dawson,Flower,corvette,06 October 1941,paid off 19 June 1945,Royal Canadian Navy,925
Day,Rudderow,destroyer escort,10 June 1944,,United States,"1,450"
Dayton,Cleveland,light cruiser,07 January 1945,scrapped 1962,United States,"11,800"
De Haven (I),Fletcher,destroyer,21 June 1942,sunk 1 February 1943,United States,"2,050"
De Haven (II),Allen M. Sumner,destroyer,31 March 1944,"to South Korea 1973, scrapped 1993",United States,"2,200"
De Ruyter,De Ruyter,cruiser,03 October 1936,sunk 28 February 1942,Netherlands,"7,822"
Decatur,Clemson,destroyer,01 August 1922,scrapped 1945,United States,"1,200"
Decker,Buckley,destroyer escort,03 May 1943,to Republic of China as Tai Ping 28 August 1945; sunk in action 1954,United States,"1,140"
Decoy,D,destroyer,04 April 1933,"Transferred to RCN 12 April 1943 as HMCS Kootenay, paid off 26 October 1945",Royal Navy,"1,375"
Deede,Evarts,destroyer escort,29 July 1943,scrapped 1947,United States,"1,140"
Delfino,Squalo,submarine,1 January 1928,"sank after a collision off Taranto, 23 March 1943.",Regia Marina,920
Delfinul,Delfinul,submarine,01 January 1936,Stricken 1957,Romania,650
Delhi,Danae,cruiser,01 June 1919,scrapped 1948,Royal Navy,"4,850"
DeLong,Rudderow,destroyer escort,31 December 1943,sunk as target 1970,United States,"1,450"
Delphinium,Flower,corvette,15 November 1940,Scrapped in February 1949 at Pembroke Dock.,Royal Navy,925
Dempsey,Evarts,destroyer escort,23 July 1943,scrapped 1947,United States,"1,140"
Dennis,John C. Butler,destroyer escort,20 March 1944,"decommissioned 1946, scrapped 1973",United States,"1,350"
Dennis J. Buckley,Gearing,destroyer,02 March 1945,scrapped 1974,United States,"2,250"
Dent,Wickes,destroyer,09 September 1918,scrapped 1946,United States,"1,150"
Dentice,Flutto,submarine,2 January 1944,,Regia Marina,930
Denver,Cleveland,light cruiser,15 October 1942,scrapped 1960,United States,"11,800"
Derwent,Hunt,destroyer escort,24 April 1942,scrapped 1947,Royal Navy,"1,050"
Despatch,Danae,cruiser,02 June 1922,scrapped 1946,Royal Navy,"4,850"
Dessiè,Adua,submarine,22 November 1936,"sunk on 28 November 1942 by destroyers HMS Quiberon and HMS Quentin, near Bona, Algeria.",Regia Marina,697
Detroit,Omaha,light cruiser,31 July 1923,scrapped 1946,United States,"7,050"
Deutschland,Deutschland,heavy cruiser,01 April 1933,renamed Lützow,Kriegsmarine,"12,100"
Devonshire,County,heavy cruiser,18 March 1929,scrapped December 1954,Royal Navy,"9,750"
Dewey,Farragut,destroyer,14 October 1934,scrapped 1946,United States,"1,365"
Diamante,Sirena,submarine,21 May 1933,"Sunk, 20 June 1940",Regia Marina,691
Diana,D,destroyer,21 December 1932,"Transferred to RCN 6 September 1940 as HMCS Margaree, sunk in 22 October 1940",Royal Navy,"1,375"
Dianella,Flower,corvette,06 January 1941,Formerly Daffodil. Scrapped on 24 June 1947 at Portaferry.,Royal Navy,925
Dianthus,Flower,corvette,17 March 1941,Sank U-379 single-handed by both ramming and depth-charging enemy 8 August 42. Sold in May 1947 as mercantile ship. Resold in June 1949 to Norway as buoy tender Thorslep. Rebuilt in 1950 to whale catcher. Scrapped in June 1969 at Grimstad.,Royal Navy,925
Diaspro,Perla,submarine,1 February 1948,Sank a British-flagged steamer off Valencia during the Spanish Civil War. Struck,Regia Marina,695
Dickerson,Wickes,destroyer,03 September 1919,sunk 4 April 1945,United States,"1,150"
Diomede,Danae,cruiser,24 April 1922,scrapped 1946,Royal Navy,"4,850"
Dionne,Evarts,destroyer escort,16 July 1943,scrapped 1947,United States,"1,140"
Dittany,Flower modified,corvette,07 March 1943,"to US as Beacon 7 March 1943, to UK 31 May 1943",Royal Navy,"1,015"
Dobler,Evarts,destroyer escort,17 May 1943,scrapped 1946,United States,"1,140"
Doherty,Evarts,destroyer escort,06 February 1943,scrapped 1946,United States,"1,140"
Domenico Millelire,Balilla,submarine,19 September 1927,Turned into latex depot and used by Pirelli until 1977,Regia Marina,"1,450"
Donaldson,Evarts,destroyer escort,01 December 1943,scrapped 1946,United States,"1,140"
Doneff,Evarts,destroyer escort,10 June 1943,scrapped 1947,United States,"1,140"
Donnell,Buckley,destroyer escort,26 June 1943,"damaged August 1943 and converted to power barge, scrapped 1946",United States,"1,400"
Doran,Gleaves,destroyer,04 August 1942,"decommissioned 1947, scrapped 1973",United States,"1,630"
Dorsey,Wickes,destroyer,16 September 1918,"grounded in typhoon, 9 October 1945",United States,"1,150"
Dortch,Fletcher,destroyer,07 August 1943,"to Argentina 1961, scrapped 1977",United States,"2,050"
Douglas,Admiralty,destroyer flotilla leader,02 September 1918,scrapped 20 March 1945,Royal Navy,"1,610"
Douglas A. Munro,John C. Butler,destroyer escort,11 July 1944,"decommissioned 1960, sunk as target 1966",United States,"1,350"
Douglas H. Fox,Allen M. Sumner,destroyer,26 December 1944,"to Chile 1974, sunk as target 1998",United States,"2,200"
Douglas L. Howard,Evarts,destroyer escort,29 July 1943,"decommissioned 1946, scrapped 1974",United States,"1,250"
Downes,Mahan,destroyer,15 January 1937,"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948",United States,"1,450"
Doyle,Gleaves,destroyer,27 January 1943,"decommissioned 1955, scrapped 1972",United States,"1,630"
Doyle C. Barnes,John C. Butler,destroyer escort,13 July 1944,"decommissioned 1947, scrapped 1973",United States,"1,350"
Drache,,minelayer,17 April 1941,"captured from Yugoslav, Zmaj, sunk 22 September 1944",Kriegsmarine,"1,870"
Dragon,Danae,cruiser,01 August 1918,"damaged, then used as a blockship in ""Gooseberry"" breakwater, July 1944",Royal Navy,"4,850"
Dragone,Ariete,torpedo boat,14 August 1943,Sunk 15 June 1944 by U.S. PT boats.,Regia Marina,745
Drava,Enns,river monitor,15 April 1920,sunk 12 April 1941,Royal Yugoslav Navy,536
Drayton,Mahan,destroyer,01 September 1936,scrapped 1947,United States,"1,450"
Drazki,Drazki,torpedo boat,01 January 1907,"Surviving parts were incorporated in a museum ship at the Naval Museum in Varna under the same name, using the hull of Strogi",Bulgarian Navy,97
Drexler,Allen M. Sumner,destroyer,14 November 1944,sunk 28 May 1945,United States,"2,200"
Dristigheten,Dristigheten,seaplane carrier,05 September 1901,paid off 13 June 1947,Swedish Navy,"3,445"
Drottning Victoria,Sverige,coastal defence ship,12 March 1921,"paid off 22 March 1957, scrapped 1959",Swedish Navy,"7,125"
Drum,Gato,submarine,01 November 1941,"decommissioned 1967; museum at Mobile, Alabama",United States,"1,525"
Drumheller,Flower,corvette,13 September 1941,paid off 11 July 1945,Royal Canadian Navy,925
Du Pont,Wickes,destroyer,30 April 1919,scrapped 1947,United States,"1,150"
Dubrovnik,Dubrovnik,destroyer,01 August 1939,Scuttled by crew on 17 April 1941,Royal Yugoslav Navy,"1,210"
Duffy,Evarts,destroyer escort,05 August 1943,scrapped 1947,United States,"1,140"
Dufilho,John C. Butler,destroyer escort,21 July 1944,"decommissioned 1946, scrapped 1973",United States,"1,350"
Duguay-Trouin,Duguay-Trouin,light cruiser,02 November 1926,decommissioned 9 March 1952,French Navy,"7,250"
Duke of York,King George V,battleship,28 February 1940,scrapped 1957,Royal Navy,"35,000"
Duluth,Cleveland,light cruiser,18 September 1944,scrapped 1960,United States,"11,800"
Dulverton,Hunt,destroyer escort,01 September 1941,scuttled on 13 November 1943,Royal Navy,"1,000"
Duncan (I),Gleaves,destroyer,16 April 1942,sunk 12 October 1942,United States,"1,630"
Duncan (II),Gearing,destroyer,25 February 1945,"decommissioned 1971, sunk as target 1980",United States,"2,250"
Dundas,Flower,corvette,01 April 1942,paid off 17 July 1945,Royal Canadian Navy,925
Dundee,Shoreham,sloop,31 March 1933,Torpedoed and sunk 15 September 1940,Royal Navy,"1,060"
Dunedin,Danae,cruiser,19 November 1918,lost 24 November 1941,Royal Navy,"4,850"
Dunkerque,Dunkerque,battleship,15 April 1937,scuttled 27 November 1942,French Navy,"26,500"
Dunlap,Mahan,destroyer,12 June 1937,scrapped 1948,United States,"1,450"
Dunvegan,Flower,corvette,09 September 1941,paid off 3 July 1945,Royal Canadian Navy,925
Dunvegan Castle,,armed merchant cruiser,07 September 1939,sunk 28 August 1940,Royal Navy,"15,007"
Dupleix,Suffren,heavy cruiser,07 July 1932,scuttled 27 November 1942,French Navy,"10,000"
Duquesne,Duquesne,heavy cruiser,06 December 1928,condemned 1955,French Navy,"10,000"
Durant,Edsall,destroyer escort,17 February 1944,"decommissioned 1964, scrapped 1974",United States,"1,250"
Durban,Danae,cruiser,01 November 1921,"""Gooseberry"" breakwater blockship, 9 June 1944",Royal Navy,"4,850"
Durbo,Adua,submarine,6 March 1938,scuttled on 18 October 1940 east of Gibraltar after attack by destroyers HMS Firedrake and HMS Wrestler,Regia Marina,697
Durik,Buckley,destroyer escort,16 November 1943,"decommissioned 1946, scrapped 1967",United States,"1,400"
Dyess,Gearing,destroyer,21 May 1945,scrapped 1981,United States,"2,250"
Dyson,Fletcher,destroyer,30 December 1942,"to West Germany 1960, scrapped 1982",United States,"2,050"
Eagle,,aircraft carrier,26 February 1924,sunk 11 August 1942,Royal Navy,"22,600"
Earle,Gleaves,destroyer,01 September 1942,"decommissioned 1947, scrapped 1970",United States,"1,630"
Eastview,River,frigate,03 June 1944,paid off 17 January 1946,Royal Canadian Navy,"1,445"
Eberle,Gleaves,destroyer,04 December 1940,"Transferred to Greece, 22 January 1951, scrapped 1972",United States,"1,630"
Echo,E,destroyer,22 October 1934,"to Greece as Navarion 5 April 1944, scrapped April 1956",Royal Navy,"1,405"
Edgehill,,Special Service Ship,,sunk 29 June 1940,Royal Navy,"4,702"
Edinburgh,Town class,light cruiser,06 July 1939,lost 2 May 1942,Royal Navy,"11,500"
Edison,Gleaves,destroyer,31 January 1941,"decommissioned 1946, scrapped 1966",United States,"1,630"
Edmundston,Flower,corvette,21 October 1941,paid off 16 June 1945,Royal Canadian Navy,925
Edwards,Gleaves,destroyer,18 September 1942,"decommissioned 1946, scrapped 1973",United States,"1,630"
Effingham,Hawkins,heavy cruiser,02 July 1925,wrecked 18 May 1940,Royal Navy,"9,750"
Eggesford,Hunt,destroyer escort,21 January 1943,paid off 1946,Royal Navy,"1,050"
Eglantine,Flower,corvette,29 August 1941,scrapped June 1969,Royal Norwegian Navy,925
Eglinton,Hunt,destroyer escort,28 August 1940,"paid off 1945, scrapped 1956",Royal Navy,"1,000"
Eidsvold,Eidsvold,coastal defence ship,01 March 1901,sunk 9 April 1940,Royal Norwegian Navy,"4,233"
El Amir Farouq,,patrol vessel,,,Egypt,"1,441"
El Dorado,Mount McKinley,amphibious command ship,25 August 1944,"Decommissioned 8 November 1972, scrapped 1976",United States,"7,350"
Ellet,Benham,destroyer,17 February 1939,scrapped 1947,United States,"1,500"
Elli,Chao Ho,protected cruiser,01 November 1913,sunk 15 August 1940,Hellenic Navy,"2,115"
Ellyson,Gleaves,destroyer,28 November 1941,"to Japan 1954, scrapped 1970",United States,"1,630"
Emanuele Filiberto Duca d'Aosta,Duca d'Aosta,light cruiser,13 July 1935,"ceded to USSR 1949, renamed Kerch, scrapped in 1960s",Regia Marina,"8,450"
Emanuele Pessagno,Navigatori ,destroyer,10 March 1930,"Torpedoed and sunk by British submarine HMS Turbulent on 29 May 1942 while escorting a convoy from Brindisi to Benghazi. 159 crew lost, 86 survivors.",Regia Marina,"1,900"
Emden,,light cruiser,01 October 1925,scuttled 3 May 1945,Kriegsmarine,"5,600"
Emerald,Emerald,light cruiser,14 January 1926,scrapped July 1948,Royal Navy,"7,580"
Émile Bertin,,light cruiser,28 January 1935,scrapped 1959,French Navy,"5,886"
Emmons,Gleaves,destroyer,05 December 1941,sunk 6 April 1945,United States,"1,630"
Emo,Marcello,submarine,29 June 1938,sunk by the naval trawler HMS Lord Nuffield on 7 November 1942 during the preliminary stages of Operation Torch.,Regia Marina,"1,060"
Emperor,Ruler,escort carrier,06 August 1943,"paid off 28 March 1946, scrapped 1946",Royal Navy,"11,400"
Empire Activity,Empire,merchant aircraft carrier,29 September 1942,Decommissioned on 20/10/1945. Sold into merchant service as Breconshire 25 March 1946.,Royal Navy,"14,250"
Empire Audacity,Empire,merchant aircraft carrier,20 June 1941,Sunk 21 December 1941,Royal Navy,"11,000"
Empire MacAlpine,Empire,merchant aircraft carrier,14 April 1943,transferred to merchant service post-war; renamed Derryname,Royal Navy,"8,000"
Empire MacAndrew,Empire,merchant aircraft carrier,07 July 1943,transferred to merchant service post-war; renamed Derryheen,Royal Navy,"8,000"
Empire MacCabe,Empire,merchant aircraft carrier,01 November 1943,"Transferred to merchant service 1946, renamed British Escort",Royal Navy,"9,000"
Empire MacCallum,Empire,merchant aircraft carrier,22 December 1943,transferred to merchant service post-war; renamed Alpha Zambesi,Royal Navy,"8,000"
Empire MacColl,Empire,merchant aircraft carrier,01 November 1943,"Transferred to merchant service 1946, renamed British Pilot",Royal Navy,"9,000"
Empire MacDermott,Empire,merchant aircraft carrier,31 March 1944,transferred to merchant service post-war; renamed La Cumbre,Royal Navy,"8,000"
Empire MacKay,Empire,merchant aircraft carrier,05 October 1943,"Transferred to merchant service 1946, renamed British Swordfish",Royal Navy,"9,000"
Empire MacKendrick,Empire,merchant aircraft carrier,01 December 1943,transferred to merchant service post-war; renamed Granpond,Royal Navy,"8,000"
Empire MacMahon,Empire,merchant aircraft carrier,01 December 1943,"Transferred to merchant service 1946, renamed Naninia",Royal Navy,"9,000"
